model_name	file_source	ndcg@20	recall@20	hit@20	mrr@20	precision@20	map@20	giniindex@20	itemcoverage@20	shannonentropy@20	popularitypercentage@20	Value Unfairness of sensitive attribute gender	Absolute Unfairness of sensitive attribute gender	Underestimation Unfairness of sensitive attribute gender	Overestimation Unfairness of sensitive attribute gender	NonParity Unfairness of sensitive attribute gender	Differential Fairness of sensitive attribute gender
FREEDOM	Jul-12-2026_09-56-28.log	0.2537	0.2879	0.8654	0.4276	0.1246	0.1292	0.953	0.2287	0.0073	0.9591	0.1348	0.1039	0.0892	0.0457	0.0687	1.2667
FREEDOM	Jul-11-2026_16-06-04.log	0.2397	0.2773	0.8475	0.4038	0.1201	0.1194	0.9534	0.2252	0.0074	0.9342	0.1354	0.1058	0.0932	0.0421	0.1101	1.1598
FREEDOM	Jul-12-2026_12-19-16.log	0.1193	0.1866	0.7217	0.1462	0.0654	0.0455	0.9447	0.3744	0.0045	0.5064	0.128	0.128	0.128	0.0	0.0	1.0168
FREEDOM	Jul-11-2026_15-53-58.log	0.2454	0.2799	0.8555	0.4125	0.1225	0.1234	0.9518	0.2862	0.0058	0.9412	0.1386	0.112	0.1003	0.0383	0.1443	0.879
FREEDOM	Jul-12-2026_11-22-36.log	0.1151	0.189	0.6757	0.133	0.0541	0.0475	0.8588	0.8436	0.0023	0.2864	0.1322	0.1322	0.1322	0.0	0.0	1.0168
FREEDOM	Jul-12-2026_10-22-09.log	0.2647	0.2961	0.878	0.4412	0.1292	0.137	0.9526	0.2324	0.0071	0.9733	0.1341	0.1036	0.0904	0.0437	0.0615	1.2631
FREEDOM	Jul-12-2026_13-17-27.log	0.036	0.0611	0.2919	0.0587	0.0175	0.012	0.5753	0.9959	0.0023	0.0993	0.1283	0.1283	0.1283	0.0	0.0	1.0168
FREEDOM	Jul-11-2026_16-23-02.log	0.2511	0.2843	0.8579	0.4227	0.1247	0.1276	0.9529	0.2271	0.0073	0.9541	0.135	0.1053	0.0961	0.0389	0.1028	1.1886
FREEDOM	Jul-12-2026_12-42-24.log	0.0934	0.1478	0.5983	0.1196	0.0528	0.0334	0.9485	0.3178	0.0053	0.4386	0.1283	0.1283	0.1283	0.0	0.0	1.0168
FREEDOM	Jul-12-2026_11-40-13.log	0.1504	0.2228	0.7253	0.1553	0.0874	0.0637	0.928	0.3982	0.0044	0.6469	0.128	0.128	0.128	0.0	0.0	1.0168
FREEDOM	Jul-12-2026_10-55-21.log	0.1199	0.1752	0.6917	0.1893	0.06	0.0471	0.9568	0.2308	0.0071	0.4597	0.128	0.128	0.128	0.0	0.0	1.0168
FREEDOM	Jul-12-2026_13-57-20.log	0.083	0.1447	0.5325	0.1183	0.0383	0.0306	0.915	0.4567	0.004	0.2508	0.128	0.128	0.128	0.0	0.0	1.0168
FREEDOM	Jul-12-2026_14-16-33.log	0.087	0.1382	0.5555	0.1426	0.0422	0.0323	0.9361	0.4226	0.0041	0.3583	0.128	0.128	0.128	0.0	0.0	1.0168
